gameId,gameDuraton,blueWins,blueFirstBlood,blueFirstTower,blueFirstBaron,blueFirstDragon,blueFirstInhibitor,blueDragonKills,blueBaronKills,blueTowerKills,blueInhibitorKills,blueWardPlaced,blueWardkills,blueKills,blueDeath,blueAssist,blueChampionDamageDealt,blueTotalGold,blueTotalMinionKills,blueTotalLevel,blueAvgLevel,blueJungleMinionKills,blueKillingSpree,blueTotalHeal,blueObjectDamageDealt,redWins,redFirstBlood,redFirstTower,redFirstBaron,redFirstDragon,redFirstInhibitor,redDragonKills,redBaronKills,redTowerKills,redInhibitorKills,redWardPlaced,redWardkills,redKills,redDeath,redAssist,redChampionDamageDealt,redTotalGold,redTotalMinionKills,redTotalLevel,redAvgLevel,redJungleMinionKills,redKillingSpree,redTotalHeal,redObjectDamageDealt
4255761502,962,0,1,0,0,0,0,0,0,0,0,33,11,13,27,17,35698,27382,306,46,9.2,78,1,8264,4252,1,0,1,0,1,0,1,0,3,0,46,11,27,13,23,42472,36072,432,52,10.4,80,6,9881,21139
4255663162,1632,0,0,0,0,1,0,1,0,3,0,60,28,16,25,33,67495,45386,631,64,12.8,144,5,21165,26149,1,1,1,1,0,1,2,1,9,2,77,20,25,16,58,86546,54256,624,71,14.2,123,6,34539,65508
4255601634,1447,1,0,1,1,1,1,2,1,9,2,74,23,37,17,61,79831,54369,520,69,13.8,144,8,44931,53206,0,1,0,0,0,0,2,0,0,0,53,16,17,37,24,65595,40991,505,58,11.6,129,2,12868,23801
4255379515,1750,1,1,1,0,1,1,4,0,9,1,90,43,39,13,73,99457,61918,666,73,14.6,197,8,68713,73235,0,0,0,0,0,0,0,0,2,0,100,33,13,39,28,80460,46806,667,66,13.2,118,2,21625,17099
4255228631,1890,1,0,1,1,0,1,2,1,11,3,100,31,33,27,61,103658,64774,669,78,15.6,231,8,65538,71998,0,1,0,0,1,0,2,0,3,0,92,31,27,33,29,106529,56146,686,70,14,153,5,30743,46970
4252707261,1982,0,0,0,1,0,0,0,1,5,0,107,39,28,38,37,92097,62630,735,78,15.6,182,8,40141,41748,1,1,1,0,1,1,5,1,8,1,91,45,38,28,62,117797,68316,673,82,16.4,203,9,43168,77715
4251918236,932,1,1,1,0,1,0,2,0,3,0,36,7,18,5,15,34154,31481,389,51,10.2,86,5,19095,27720,0,0,0,0,0,0,0,0,0,0,35,8,5,18,7,29231,24154,371,46,9.2,105,0,10751,7980
4249716387,1015,0,0,0,0,0,0,0,0,0,0,43,17,7,15,9,21181,26266,365,47,9.4,92,2,11159,4788,1,1,1,0,1,0,2,0,5,0,43,10,15,7,10,31355,33716,451,52,10.4,108,3,10817,28998
4247346627,1353,1,1,1,0,1,1,3,0,6,1,49,16,24,17,31,50739,46320,523,66,13.2,149,4,25835,56888,0,0,0,0,0,0,0,0,3,0,59,6,17,24,23,60766,41685,572,63,12.6,123,7,17987,18623
4247333254,1261,1,1,0,0,0,0,1,0,5,0,65,19,27,12,60,51052,44601,489,61,12.2,125,5,14947,40063,0,0,1,0,1,0,2,0,3,0,42,28,12,27,16,52034,37857,534,55,11,104,2,12478,30053
4247328744,1030,1,1,0,0,0,0,1,0,5,0,49,20,25,9,31,41797,37243,472,54,10.8,93,7,6053,38600,0,0,1,0,1,0,1,0,1,0,38,15,9,25,13,27723,29068,333,47,9.4,86,2,13961,8954
4247161499,1958,1,1,1,0,1,1,3,0,9,1,112,55,39,14,90,112872,64898,690,79,15.8,220,10,51448,75778,0,0,0,1,0,0,2,2,4,0,120,35,14,39,20,81919,57592,767,75,15,158,2,43859,57763
4247052472,1537,0,0,0,0,0,0,0,0,0,0,66,31,15,17,31,49722,41628,562,63,12.6,160,2,18518,5152,1,1,1,1,1,0,4,1,6,0,76,28,17,15,23,51505,48724,638,67,13.4,195,4,24845,63993
4242033414,1643,0,0,0,0,0,0,0,0,1,0,73,31,20,40,29,74859,49005,617,66,13.2,126,5,25381,10860,1,1,1,1,1,1,3,1,9,2,64,26,40,20,76,94228,59948,562,73,14.6,176,10,32870,83148
4241849807,1895,0,0,0,0,0,0,0,0,3,0,105,38,35,37,53,120639,60897,659,77,15.4,166,11,39117,24964,1,1,1,1,1,1,4,2,7,1,71,39,37,35,57,121469,68499,701,82,16.4,194,8,63344,81053
4241836803,2024,1,0,0,1,0,1,2,1,7,1,142,59,18,15,25,99946,61459,807,77,15.4,243,5,43658,78216,0,1,1,0,1,0,3,0,3,0,116,51,15,18,25,67245,54218,725,70,14,206,5,27104,37890
4239392496,1236,0,0,0,0,0,0,0,0,1,0,41,12,9,21,19,36481,33254,422,52,10.4,107,1,27763,19839,1,1,1,0,1,0,3,0,2,0,51,18,21,9,49,60526,40095,456,59,11.8,148,3,29187,33203
4239164903,2669,1,0,0,1,1,1,5,3,11,5,135,47,38,50,86,167666,86651,776,89,17.8,275,7,86630,118343,0,1,1,0,0,0,2,1,4,0,122,54,50,38,94,214153,88184,991,89,17.8,229,13,76182,69584
4239025985,1717,1,1,0,1,1,1,2,1,8,1,75,35,26,23,49,80826,58255,689,74,14.8,188,5,19317,49428,0,0,1,0,0,0,1,0,3,0,85,24,23,26,33,63284,50466,665,68,13.6,153,6,19721,28447
4238878723,1223,1,1,0,0,1,0,1,0,3,0,54,15,24,12,33,47221,41123,515,59,11.8,105,5,15687,19698,0,0,1,0,0,0,1,0,2,0,50,17,11,24,20,38015,35773,487,55,11,114,4,11361,22557
4238834904,2034,1,0,0,1,1,1,4,1,10,2,88,42,33,25,63,113601,66643,719,79,15.8,193,7,36623,108873,0,1,1,0,0,0,1,0,6,1,95,37,25,33,55,104705,64127,784,77,15.4,196,6,36112,35316
4236315023,1394,0,1,1,0,0,0,0,0,2,0,49,17,12,26,16,40113,39987,590,57,11.4,123,3,15495,26783,1,0,0,0,1,0,3,0,5,0,55,19,26,12,46,56341,46370,593,63,12.6,160,7,19881,54423
4236105557,1434,0,0,0,0,0,0,0,0,3,0,78,22,8,31,8,49774,38910,555,60,12,142,0,23044,17979,1,1,1,1,1,0,2,1,5,0,68,34,31,8,51,75718,47642,553,68,13.6,99,7,22245,63755
4235949878,1242,1,1,0,0,1,1,2,0,6,1,49,23,21,7,31,48522,42013,541,58,11.6,108,6,21606,40762,0,0,1,0,0,0,0,0,2,0,54,18,7,21,11,35431,34423,503,54,10.8,144,1,27354,18762
4235878601,1541,1,1,1,0,1,1,2,0,7,1,94,38,22,7,42,64143,49963,658,66,13.2,146,5,28558,62999,0,0,0,0,0,0,1,0,2,0,81,34,7,22,14,36993,43043,709,64,12.8,155,0,18364,20383
4232242673,2718,0,0,0,1,0,0,1,3,9,2,160,74,29,31,48,113341,88150,1048,88,17.6,293,6,88263,115628,1,1,1,0,1,1,5,0,7,1,180,82,31,29,60,159513,87833,1112,88,17.6,326,8,51593,87477
4232200699,1371,1,1,1,1,0,1,1,1,7,1,46,26,38,14,37,69243,55776,596,68,13.6,166,12,28478,59861,0,0,0,0,1,0,2,0,0,0,67,16,14,38,21,57396,36535,463,58,11.6,113,2,14487,13292
4232080526,1527,1,0,1,1,1,1,2,1,6,1,69,23,36,16,50,95677,54995,585,71,14.2,162,5,34602,76354,0,1,0,0,0,0,0,0,0,0,59,34,16,36,23,61115,40081,527,59,11.8,86,5,22615,7730
4231598145,1868,1,1,1,1,1,1,4,1,6,1,82,26,35,20,62,106661,61087,634,75,15,199,8,42478,63723,0,0,0,0,0,0,1,0,4,0,72,35,20,35,37,100655,52969,637,72,14.4,142,4,42965,28248
4230266081,1684,0,0,1,0,1,0,1,0,3,0,101,28,27,33,55,74444,53617,600,67,13.4,132,6,24810,21024,1,1,0,1,0,1,2,1,8,1,70,43,33,27,44,100271,61543,648,74,14.8,219,7,38725,71630
4230208526,1702,0,1,0,0,1,0,1,0,1,0,75,21,29,45,38,88821,56364,674,72,14.4,159,7,23337,23265,1,0,1,1,0,1,2,1,11,3,66,27,45,29,72,115959,65528,659,77,15.4,181,8,38359,75172
4229721654,1364,0,0,0,0,1,0,1,0,2,0,78,25,14,22,22,45470,40093,539,59,11.8,112,4,16406,14967,1,1,1,0,0,0,1,0,2,0,53,36,22,14,39,48715,43835,572,61,12.2,148,5,21915,41222
4228279942,1829,1,1,1,1,1,0,4,1,6,0,79,39,48,33,59,118405,69246,679,81,16.2,259,11,43873,82609,0,0,0,0,0,0,0,0,0,0,82,27,33,48,52,107401,57126,708,75,15,121,6,36820,12460
4227969696,1266,1,1,1,0,1,1,3,0,10,2,48,9,38,18,50,71606,50262,472,59,11.8,114,10,19669,56141,0,0,0,0,0,0,0,0,1,0,49,11,18,38,21,44540,37139,422,54,10.8,93,3,19727,16091
4227530167,980,0,1,0,0,0,0,0,0,0,0,33,6,6,24,7,25927,24586,345,46,9.2,81,2,9418,13956,1,0,1,0,1,0,2,0,2,0,31,12,24,6,23,35777,34170,423,53,10.6,99,4,27324,29806
4227430077,1357,0,0,0,0,0,0,0,0,1,0,72,24,15,32,19,56180,38577,502,58,11.6,88,2,12842,12157,1,1,1,1,1,0,3,1,3,0,59,31,32,15,32,68622,48071,547,66,13.2,133,10,23897,63059
4227265183,1665,0,1,1,0,0,0,0,0,7,0,75,29,16,32,8,71627,49333,672,63,12.6,125,4,26684,45137,1,0,0,1,1,1,4,1,7,1,74,27,32,16,48,87009,55650,616,74,14.8,201,6,35572,65112
4227058495,1501,1,0,0,1,1,0,3,1,5,0,77,30,24,14,45,63432,49541,582,71,14.2,163,5,45538,57239,0,1,1,0,0,0,0,0,5,0,75,31,14,24,14,51850,44648,637,63,12.6,122,4,21447,24358
4224988597,2153,0,0,1,1,0,1,1,1,8,2,98,39,23,36,44,123966,63645,735,78,15.6,184,7,44662,58892,1,1,0,0,1,0,4,1,9,2,107,53,36,24,75,122704,72421,837,87,17.4,185,6,74158,71114
4224787553,1284,1,0,0,0,1,0,3,0,3,0,45,22,30,18,60,71578,46331,519,63,12.6,126,8,28690,35117,0,1,1,0,0,0,0,0,2,0,53,15,18,30,35,54879,39288,430,57,11.4,123,4,18116,16521
4222928079,1050,1,0,1,0,0,0,1,0,6,0,39,15,20,5,31,41990,38726,451,56,11.2,100,3,15455,32782,0,1,0,0,1,0,1,0,0,0,38,8,5,20,8,26238,24981,379,47,9.4,92,0,15163,17739
4222913538,1377,0,0,0,0,1,0,1,0,1,0,60,29,18,27,21,58028,38079,436,61,12.2,131,5,18776,11454,1,1,1,1,0,1,1,1,10,2,66,17,27,18,36,69508,51490,584,68,13.6,145,6,38289,69571
4222871985,1500,1,0,1,1,0,1,1,1,9,1,54,32,30,15,58,75886,54926,646,73,14.6,174,8,19829,49027,0,1,0,0,1,0,2,0,2,0,78,19,15,30,33,38226,41911,543,60,12,125,5,18221,28902
4222703051,2399,1,0,1,0,0,1,1,1,11,5,123,76,54,40,84,163215,84905,855,89,17.8,243,14,59952,84055,0,1,0,1,1,0,4,1,5,0,150,49,40,54,60,152661,81877,837,90,18,217,6,40592,77762
4218502020,1423,1,0,1,1,1,0,2,1,5,0,75,22,29,12,37,60639,49679,560,67,13.4,142,6,28245,53823,0,1,0,0,0,0,1,0,3,0,58,25,12,29,21,62727,38657,506,57,11.4,98,2,12003,21514
4218466693,1264,1,1,1,0,1,1,2,0,10,1,53,12,34,18,45,91106,49116,523,65,13,104,8,34125,44442,0,0,0,0,0,0,1,0,1,0,49,15,18,34,36,65460,38225,461,60,12,95,5,24812,13822
4218420630,968,1,1,1,0,0,0,0,0,4,0,50,8,24,12,41,42533,35717,318,52,10.4,94,5,13240,23380,0,0,0,0,1,0,1,0,0,0,28,11,12,24,13,31273,25762,325,45,9,52,3,9745,12014
4218331896,1408,1,1,1,0,1,1,3,0,7,1,70,17,28,12,45,65069,48888,569,65,13,159,5,13858,54625,0,0,0,0,0,0,0,0,3,0,51,20,12,28,16,43828,41204,575,61,12.2,131,3,16627,25453
4218250379,1491,0,0,1,0,1,0,1,0,3,0,56,21,16,33,31,52680,43877,568,62,12.4,112,3,17678,24805,1,1,0,1,0,1,2,1,5,1,57,23,32,16,46,75681,52440,558,72,14.4,165,9,34262,57387
4218098744,1492,1,1,1,1,0,1,1,1,8,1,82,25,35,17,53,78028,53119,586,71,14.2,115,8,23219,57520,0,0,0,0,1,0,2,0,3,0,59,29,17,35,26,64173,45651,556,65,13,134,7,18208,39981
4217552064,1033,0,0,0,0,0,0,0,0,0,0,36,10,6,16,11,27014,26524,379,48,9.6,85,0,12528,12934,1,1,1,0,1,0,2,0,7,0,33,9,16,6,22,38783,36830,435,54,10.8,111,4,11901,47629
4217420625,1537,0,0,0,0,0,0,1,0,3,0,74,18,13,31,31,66543,43234,521,64,12.8,127,3,26847,52629,1,1,1,1,1,1,3,1,8,2,62,30,31,13,48,86972,53050,572,71,14.2,187,7,42345,67246
4217209852,1573,1,0,0,1,1,1,4,1,9,2,80,29,36,24,50,90815,57259,645,77,15.4,181,9,26020,68541,0,1,1,0,0,0,0,0,7,1,62,31,24,36,30,73422,49868,622,67,13.4,99,6,15305,30675
4215971474,2396,0,0,1,1,1,0,3,1,4,0,112,70,25,30,48,121374,70357,893,85,17,268,8,58270,52043,1,1,0,0,0,1,3,1,9,1,134,54,30,25,53,142237,77350,895,90,18,290,5,95504,122284
4215861925,1993,0,1,0,0,1,0,3,0,5,0,99,35,36,39,45,133584,64769,711,80,16,234,11,41657,50864,1,0,1,1,0,1,2,1,8,1,81,41,39,36,79,123602,69648,709,85,17,164,10,40787,74661
4215529839,1214,0,0,0,0,0,0,0,0,0,0,34,12,14,40,15,52652,33649,392,55,11,96,0,9478,9373,1,1,1,0,1,0,3,0,6,0,41,13,40,14,54,76832,48481,442,63,12.6,126,8,29497,56406
4214446303,1628,0,0,1,0,1,0,3,0,3,0,67,29,17,29,33,65040,48941,593,66,13.2,162,3,19848,57470,1,1,0,1,0,1,1,1,11,3,63,26,29,17,51,77318,58147,673,75,15,146,5,19182,49372
4214366208,1415,0,0,0,0,0,0,1,0,1,0,62,22,10,28,16,49555,36346,522,58,11.6,96,1,21794,26194,1,1,1,0,1,1,3,0,9,1,57,18,28,10,44,73550,50731,604,69,13.8,173,6,34063,58102
4214361102,1371,0,0,1,0,0,0,0,0,3,0,48,16,8,22,8,50341,37194,551,58,11.6,95,1,15620,16405,1,1,0,0,1,1,2,0,8,1,62,15,22,8,31,66291,44980,534,64,12.8,129,5,15412,49231
4214305053,1421,0,0,0,0,1,0,2,0,1,0,67,15,22,28,30,58379,40274,419,59,11.8,104,6,19228,33714,1,1,1,1,0,0,1,1,6,0,46,23,28,22,30,69190,52634,563,66,13.2,205,7,20929,52740
4213578403,1586,1,0,1,1,1,0,3,1,6,0,74,38,20,13,31,72790,53015,672,71,14.2,196,7,21695,62719,0,1,0,0,0,0,1,0,1,0,76,24,13,20,25,49323,43844,567,66,13.2,145,3,31037,26156
4213532270,1581,1,0,1,0,0,1,3,0,5,1,62,31,24,16,46,66211,50274,631,68,13.6,144,7,21036,51939,0,1,0,1,1,0,1,1,3,0,74,17,16,24,30,75899,46243,583,66,13.2,148,2,33881,33663
4213470313,1438,1,1,1,1,0,1,2,1,9,2,57,25,39,21,61,86315,55810,554,70,14,132,10,19309,60545,0,0,0,0,1,0,1,0,0,0,65,19,21,39,35,75244,39886,427,62,12.4,103,4,25092,25166
4213391908,925,1,1,1,0,1,0,2,0,4,0,33,6,21,4,26,44106,34347,376,50,10,100,4,19442,34238,0,0,0,0,0,0,0,0,0,0,26,9,4,21,5,24559,21232,296,40,8,64,0,11426,2767
4213255019,811,0,1,0,0,1,0,1,0,0,0,16,5,1,10,1,9959,15412,198,29,5.8,44,0,7295,5501,1,0,1,0,0,1,0,0,7,1,21,3,10,1,16,19039,27942,359,44,8.8,55,4,4189,27988
4212926342,1363,0,0,0,0,0,0,0,0,4,0,83,23,9,23,14,34484,38947,584,57,11.4,109,2,11313,22909,1,1,1,1,1,1,3,1,9,1,61,29,23,9,46,52921,48410,541,66,13.2,143,5,15477,72248
4211557534,1540,0,1,0,0,0,0,0,0,3,0,83,30,7,24,11,41760,41812,620,61,12.2,154,1,13867,35228,1,0,1,1,1,1,3,1,8,1,89,32,24,7,59,54013,50933,581,70,14,156,5,21943,59397
4232573394,1886,1,1,0,1,1,1,2,2,9,2,85,47,34,24,55,95111,68509,792,80,16,213,10,33765,83538,0,0,1,0,0,0,2,0,4,0,113,42,24,34,28,73974,57015,747,73,14.6,169,6,35546,42244
4232492751,918,0,0,0,0,0,0,0,0,0,0,31,8,5,21,5,18136,22181,320,42,8.4,85,1,10212,3120,1,1,1,0,1,0,1,0,4,0,41,11,21,5,23,35205,35138,431,52,10.4,86,4,13070,18672
4227379588,1085,0,0,0,0,1,0,1,0,0,0,47,14,9,16,11,26675,28693,426,50,10,115,3,14219,15468,1,1,1,0,0,0,1,0,4,0,44,18,16,9,25,43639,35722,477,54,10.8,81,1,12574,34070
4222955290,1719,1,1,0,1,0,1,3,1,10,2,100,37,23,10,45,89068,55736,686,76,15.2,161,6,45769,62877,0,0,1,0,1,0,1,0,4,0,75,39,10,23,11,66402,47215,687,67,13.4,179,2,35992,19321
4222901168,936,0,0,0,0,0,0,0,0,0,0,31,12,5,28,6,21238,23397,340,44,8.8,68,0,9694,3195,1,1,1,0,1,0,2,0,3,0,38,18,28,5,39,42639,35226,378,52,10.4,98,4,13289,24913
4222855407,1541,0,0,1,0,0,0,1,0,3,0,80,40,22,38,27,70172,48407,572,66,13.2,146,5,13980,40334,1,1,0,1,1,1,2,1,5,1,81,30,38,22,60,77720,55102,539,73,14.6,124,10,34517,39266
4220436726,1601,1,0,1,1,1,1,2,1,9,1,77,47,23,17,35,94665,56166,646,75,15,252,7,40207,77719,0,1,0,0,0,0,1,0,0,0,103,26,16,23,28,65932,42463,575,64,12.8,88,4,25533,14979
4217740790,2041,1,0,1,0,1,1,4,0,9,2,119,35,35,36,70,168335,65768,656,82,16.4,210,8,62679,63481,0,1,0,1,0,0,1,2,4,0,93,43,36,35,74,141215,70811,737,85,17,188,9,106565,85832
4217472738,972,1,1,1,0,1,0,2,0,4,0,45,11,22,3,26,39460,35077,406,53,10.6,104,5,14403,34824,0,0,0,0,0,0,0,0,0,0,26,9,3,22,3,26701,23392,392,45,9,65,1,7484,7206
4216941024,1473,1,0,1,0,1,1,2,0,10,2,56,14,41,22,48,115573,56304,575,72,14.4,144,12,36001,62695,0,1,0,0,0,0,0,0,2,0,49,12,21,41,42,77225,44895,536,69,13.8,69,3,20789,11767
4216789811,1629,0,0,1,0,0,0,2,0,3,0,82,25,21,27,42,69479,49144,620,69,13.8,167,7,16250,46486,1,1,0,1,1,1,1,1,9,1,86,32,27,21,26,71385,58430,696,73,14.6,172,6,19355,60525
4216573409,1821,0,0,0,0,1,0,2,0,3,0,87,45,11,27,24,75467,51202,750,71,14.2,210,2,29690,37802,1,1,1,1,0,1,2,1,9,2,102,44,27,11,55,71629,60698,784,79,15.8,200,5,38321,71869
4211491708,1391,1,0,1,0,1,1,2,0,9,2,69,16,26,13,46,63366,49068,580,68,13.6,165,6,19582,61552,0,1,0,0,0,0,1,0,1,0,57,21,13,26,19,46362,39112,560,62,12.4,124,3,24507,21446
4211414401,1557,1,1,1,0,1,1,3,0,10,2,60,30,32,13,51,100013,56656,682,74,14.8,225,8,48970,67472,0,0,0,0,0,0,0,0,0,0,77,31,13,32,21,73479,42343,616,66,13.2,88,1,35300,4537
4211326214,1213,0,1,0,0,1,0,2,0,3,0,49,20,19,24,36,43746,39453,473,53,10.6,98,3,12992,44932,1,0,1,0,0,0,1,0,4,0,52,13,24,19,47,47825,42099,470,58,11.6,93,6,27264,21482
4210725194,1655,1,1,1,0,0,1,3,0,9,2,106,28,23,10,33,69534,53016,639,71,14.2,200,5,21383,51064,0,0,0,1,1,0,1,1,1,0,63,42,10,23,21,52450,46168,639,69,13.8,158,2,27274,41377
4210607036,1354,0,1,1,0,0,0,0,0,2,0,46,16,14,29,29,55318,40461,576,61,12.2,108,3,46787,10655,1,0,0,0,1,0,2,0,5,0,55,15,29,14,39,79858,46539,549,67,13.4,124,6,33984,48028
4210544654,1174,1,1,1,0,0,1,0,0,7,1,54,18,14,3,20,30278,39573,527,56,11.2,124,4,8290,42339,0,0,0,0,1,0,2,0,1,0,48,22,3,14,4,24728,28628,471,51,10.2,94,0,12426,15539
4208540749,1892,1,0,1,1,0,1,1,1,9,1,102,54,28,18,55,110491,71808,821,81,16.2,239,6,36029,64976,0,1,0,0,1,0,2,0,1,0,99,48,18,28,34,74237,53808,796,72,14.4,150,3,52553,24191
4207880258,918,0,0,0,0,0,0,0,0,0,0,35,15,3,19,5,26847,22626,357,43,8.6,69,0,6450,9130,1,1,1,0,1,0,2,0,1,0,41,15,19,3,21,28985,30665,387,50,10,106,5,8406,14169
4206501111,1118,1,1,1,0,0,1,0,0,4,2,0,0,46,29,131,93157,60924,211,87,17.4,0,18,39735,8083,0,0,0,0,0,0,0,0,1,0,0,0,29,46,70,93637,55715,211,79,15.8,0,8,9837,2759
4206197847,2087,0,0,0,0,1,1,3,0,6,1,80,26,40,36,62,135483,64868,636,83,16.6,233,12,23611,69256,1,1,1,1,0,0,1,1,8,1,86,21,36,40,46,104719,67706,661,85,17,190,7,38135,60246
4206140902,1314,1,1,1,0,0,0,0,0,3,0,36,10,32,21,30,68601,44398,442,67,13.4,115,7,14782,16467,0,0,0,0,1,0,2,0,2,0,48,13,21,32,21,50254,39126,475,61,12.2,90,6,17987,16204
4205783924,917,1,1,1,0,1,0,1,0,2,0,28,8,24,8,38,41551,31910,385,51,10.2,69,4,11484,18116,0,0,0,0,0,0,0,0,0,0,29,4,8,24,8,24697,23952,363,43,8.6,77,1,10597,11319
4205702275,1236,0,0,0,0,0,0,0,0,1,0,46,20,17,19,35,47583,36786,480,56,11.2,95,4,17583,15356,1,1,1,0,1,1,2,0,6,1,62,19,19,17,21,52736,42123,482,60,12,136,3,13755,43080
4204484753,967,1,0,0,0,0,1,0,0,4,1,0,0,44,32,106,107702,55077,201,80,16,0,13,14392,8840,0,1,1,0,0,0,0,0,1,0,0,0,32,45,64,69873,50012,186,74,14.8,0,9,27172,2728
4204457873,1361,1,0,1,0,0,1,0,0,4,2,0,0,78,45,197,201390,75814,243,90,18,0,21,79215,7671,0,1,0,0,0,0,0,0,2,0,0,0,45,78,97,153200,69673,254,90,18,0,13,41164,4335
4204328322,1156,0,1,0,0,1,0,1,0,1,0,56,10,13,20,17,28048,35684,483,56,11.2,114,3,17241,15656,1,0,1,0,0,0,1,0,5,0,57,22,20,13,28,49624,41091,528,58,11.6,125,6,8721,39303
4204007475,1639,0,0,0,0,0,0,1,0,1,0,78,26,19,25,38,70287,48612,627,71,14.2,140,3,13819,26193,1,1,1,1,1,1,3,1,11,2,74,45,25,19,51,73275,58669,728,76,15.2,177,6,27219,62658
4203914434,1419,1,0,1,1,0,1,2,1,6,1,65,30,18,15,21,48504,49998,614,67,13.4,218,5,13310,69096,0,1,0,0,1,0,1,0,2,0,66,16,15,18,26,36777,42912,566,60,12,132,2,20895,16729
4203882960,1087,1,0,1,0,0,0,1,0,4,0,42,8,15,6,27,32348,35533,462,55,11,97,5,13717,38704,0,1,0,0,1,0,1,0,0,0,31,17,6,15,5,26517,28539,493,51,10.2,100,1,11916,20539
4198552194,1760,0,0,1,0,0,1,1,0,5,1,67,20,36,42,33,86056,57925,573,74,14.8,173,7,49756,32739,1,1,0,1,1,0,2,1,4,0,59,20,42,36,46,108927,63353,605,82,16.4,175,12,25597,44762
4198462558,1585,1,1,0,1,0,1,3,1,8,1,73,17,36,15,71,103326,58464,576,78,15.6,185,8,74064,62710,0,0,1,0,1,0,1,0,2,0,50,28,13,36,21,79021,43684,546,65,13,119,3,32872,27616
4198395009,1035,1,1,1,0,1,0,1,0,3,0,57,11,19,5,28,41965,35302,450,56,11.2,113,4,27275,25512,0,0,0,0,0,0,0,0,0,0,34,23,5,19,5,33459,27022,469,49,9.8,77,1,13376,7176
4198306605,1587,0,1,0,0,1,0,1,0,0,0,48,22,21,32,31,86156,45132,536,67,13.4,117,4,23482,25688,1,0,1,1,0,1,2,1,9,2,66,22,32,21,63,100230,58309,583,75,15,187,10,83871,65244
